Manufacturer,Year,Sales,Avg_Price,Customer_Satisfaction
Honda,2020,44723,89314,3.0345879515341654
Honda,2019,149374,23100,4.540864390802468
Subaru,2022,15663,59649,3.507224111383893
Porsche,2020,46104,54137,3.6266491326016497
Land Rover,2022,496163,91438,3.325212264574767
Ford,2016,314629,60798,3.7371533876762753
Mercedes,2018,105446,51507,4.691977754774463
Tesla,2010,236671,39020,3.6439661745682477
Tesla,2018,466753,19094,4.188996731499517
BMW,2019,152624,74491,3.5751434977838565
Hyundai,2011,67564,29102,4.567444714867785
Mazda,2013,363277,92972,4.874934375627489
Honda,2020,451336,53297,4.492919518443555
Subaru,2014,51384,91693,3.604353462825315
Honda,2014,327055,92303,3.3342063278172276
Mazda,2010,184798,49623,3.8122476152624873
Land Rover,2010,343638,95241,4.499678567290848
Fiat,2022,128217,66070,3.835125238896032
Jaguar,2015,39663,80436,4.780932515248782
Subaru,2017,395373,78211,4.832097352415287
Nissan,2016,370241,35734,4.686964985628571
Audi,2021,489344,28341,4.715106254199826
Land Rover,2020,140177,60812,4.309044538021884
Honda,2015,230194,72907,3.0068922875537396
Fiat,2017,255170,70833,4.890235057774673
Mercedes,2010,491034,60608,4.0585110819015
Chevrolet,2011,191721,77104,3.9136708606257815
Mercedes,2020,152007,27467,3.4110769413909727
Subaru,2020,140115,39490,3.6903149282719605
Volkswagen,2019,12590,54893,4.233676753568484
Toyota,2022,398628,41295,3.9184747827281816
BMW,2016,183753,20293,4.591455429939677
Fiat,2021,153463,56970,3.477377762862595
Land Rover,2015,93127,51389,3.3033462810867293
Volvo,2022,152009,95138,3.7465099180329506
Land Rover,2014,214581,38552,4.9125432016153745
BMW,2018,467102,90902,3.5155953243282516
Jaguar,2013,12257,82733,4.04278947252587
Kia,2012,398826,26004,3.887867299406225
Subaru,2018,474904,87708,4.4309019272982475
Kia,2022,133611,69476,3.6012411197112844
Nissan,2019,189605,98003,4.365397009551674
Mercedes,2013,494006,31585,4.747847358771821
Chevrolet,2021,493515,32938,3.81720994144648
Volkswagen,2010,449425,47822,3.0432835892164714
BMW,2014,394910,42946,4.977049334651843
Honda,2013,146343,95201,3.491607712555732
Ford,2012,40267,54140,4.6756514398472016
Mercedes,2021,407053,79875,3.448961002465457
Mazda,2017,217716,37347,4.049088131330072
Porsche,2021,253206,38750,3.569936555154623
Volkswagen,2019,93698,60635,4.686605350407982
Jaguar,2015,286914,90993,3.7079434959577275
Volkswagen,2020,367299,35828,3.002327328655957
Porsche,2020,395393,61266,4.973753693883441
Hyundai,2016,281993,74272,3.621408437435834
Jaguar,2019,194348,20051,3.6762315433191253
Hyundai,2019,368694,89383,3.6040977309786806
Mazda,2015,476451,39180,3.8543623248167433
Chevrolet,2013,79086,37163,4.848988717060584
Toyota,2021,251553,47934,4.105738787051543
BMW,2011,361406,49018,4.245752298041207
Volvo,2015,183703,82687,4.439379192090709
Chevrolet,2016,306791,72940,3.641174611983468
BMW,2016,334539,65955,4.92396524000068
Subaru,2015,322333,34567,4.922558484734773
BMW,2014,96184,46607,4.616197960987024
Nissan,2010,122882,86657,3.034991094972338
Audi,2011,32098,60902,4.627496591135095
Audi,2019,54280,23951,4.092288940926754
Fiat,2022,128825,87964,3.648906843236335
Porsche,2016,455752,23922,3.311080183000975
Mercedes,2016,63380,17766,3.6722192924412074
Hyundai,2017,275928,35221,4.022413486651265
Honda,2012,459484,92818,3.9022920862275208
Toyota,2011,473703,70210,4.215976462393075
Ford,2011,486220,22583,4.465343940001337
Toyota,2019,455061,87417,3.6047380675518763
Mercedes,2018,137430,28229,4.0099218378843355
Porsche,2016,102297,19052,4.635748127180945
Toyota,2011,164042,30565,3.3258322095305815
Kia,2016,55765,17014,3.7288536226705022
Mazda,2021,417228,72498,3.8734451163113333
Porsche,2012,220339,33018,4.974913233920155
Toyota,2016,199814,92125,4.367960665120378
Ford,2012,191839,24705,4.1033591275052785
Jaguar,2016,494172,59379,3.4023682843333036
Audi,2017,197991,75384,3.827697489144334
Subaru,2013,59506,68625,3.671708631721664
Chevrolet,2021,366584,26955,3.5096356359295235
Chevrolet,2016,106626,68570,4.806629335132372
Hyundai,2015,156216,28784,4.296174224216912
Volkswagen,2013,223411,63555,3.2910790626452924
Jaguar,2019,132082,30164,3.791234931586537
BMW,2015,486768,33368,3.1522021116667247
Volvo,2020,476008,58327,3.5799166436075733
Nissan,2018,271456,21714,4.953174678400769
Subaru,2013,62299,80167,3.2811582573261644
Porsche,2010,386886,90452,3.041535773420782
Chevrolet,2017,447466,51116,4.742714682464415
Nissan,2016,185369,55888,3.011866993492113
Kia,2013,195406,83345,4.670855922535764
Tesla,2017,218554,18991,3.3154406341664995
Honda,2011,27801,44846,3.936541860528985
Subaru,2020,408352,72937,4.9982991335573175
Volvo,2021,17546,86439,3.8465182855316584
Volkswagen,2011,281969,86823,3.0577296789160613
Audi,2010,327763,98114,4.968921915947731
Audi,2011,182483,79368,3.7899208552206973
Mazda,2020,241059,40482,4.089376186867954
Jaguar,2011,38401,55431,3.2521052179048135
Porsche,2012,130327,93682,4.327620210500566
Honda,2015,22863,44564,4.7031022340987345
BMW,2013,267128,47132,3.41656271725016
Tesla,2010,437625,96461,3.747680171930904
Nissan,2011,459423,65535,3.3910967967122043
Volvo,2020,441083,72251,3.6477920555421024
Kia,2011,165154,55131,3.4649380804335266
Toyota,2020,355749,49851,3.748425591478116
Mercedes,2015,353205,75861,3.0954675793575124
Honda,2021,46232,82323,4.393482000419302
Subaru,2022,273276,92850,3.9214962699887437
Jaguar,2014,267075,28068,3.401328233376885
Volvo,2011,86593,70041,4.990097446815431
Chevrolet,2020,364243,79046,3.1508661392069914
Mazda,2011,288767,64641,3.222295654934218
Kia,2020,491268,72061,3.496636966049685
Tesla,2020,238394,31150,4.363810332921544
Hyundai,2014,247729,72999,3.302026234854212
Tesla,2018,495486,38461,4.844240779595275
Lexus,2014,114720,54718,4.508718508712251
Land Rover,2021,232284,27777,4.519389995599823
Land Rover,2012,90865,28882,4.7891160057547655
Ford,2018,222361,95166,3.768857466134766
Tesla,2019,243651,92027,3.8006217984622257
Ford,2016,413088,73694,3.357462473190454
Land Rover,2021,214781,31685,4.203069245261252
Kia,2015,192434,26344,4.910941980990328
BMW,2013,236351,16943,4.4117241217925125
Audi,2019,157711,79566,3.0911450432276406
Kia,2015,290784,50402,3.1333311025516464
BMW,2013,466237,43987,4.07381601582847
Porsche,2010,443410,77661,4.363566242424691
Volkswagen,2022,41460,64800,4.295109555306845
Tesla,2010,487237,93959,4.01457151058127
Ford,2010,103621,37159,4.054882091115557
Honda,2017,32507,86060,3.1564113138221894
Porsche,2019,119619,50470,4.099994970974715
Volvo,2013,333551,68821,4.5470136976018924
Volkswagen,2013,226616,42446,3.187178264144845
Volvo,2021,386968,19225,4.481625183020046
Subaru,2014,21721,17587,3.7529803906892543
Lexus,2016,211612,94837,4.324996916722609
Jaguar,2010,374258,86616,3.034244171594324
Porsche,2010,27752,18800,4.987823976463564
Tesla,2010,295840,75282,3.696397964427321
Volkswagen,2016,301544,97277,4.760431248971136
Honda,2011,393703,27094,4.266677163685179
Audi,2014,118050,23678,4.340640131661563
Porsche,2021,338750,33638,4.70608132423302
Ford,2012,380515,22807,3.3124802922102052
Volvo,2010,330558,39715,4.975431737489342
Mazda,2013,176812,91848,4.078836385506934
Mercedes,2021,240721,66069,4.743671152799821
Audi,2021,121689,76486,4.045655054621857
Nissan,2015,257824,53547,4.3236585793562075
Volvo,2011,351541,67788,4.725178482682727
Hyundai,2020,496830,25924,3.7116607573353217
Jaguar,2015,114748,80250,3.124448345304484
Audi,2022,40539,26683,4.329158856018079
Mazda,2011,316534,89884,4.9153129487773946
Ford,2020,80825,28910,4.468646816437049
Porsche,2010,93081,45289,4.849571819428027
Ford,2020,499587,28783,4.590901916355175
Honda,2012,461784,33773,3.080295540057481
Honda,2017,171403,60640,3.494353938021212
Mazda,2011,388324,22585,4.030275346922201
Audi,2015,295251,72357,3.7303267113560574
Subaru,2019,76520,32344,3.2403830828910776
Porsche,2018,302412,99564,4.253863661859715
Audi,2013,382308,76745,4.944442741934012
Volvo,2010,11825,92090,3.404168629954878
Lexus,2016,275914,42268,4.21575928774711
Volvo,2016,304306,89732,3.4468546334993384
Honda,2021,279883,39599,3.448381397678798
Subaru,2012,356034,38039,3.216245214592123
Honda,2017,53884,40146,3.0798553176103427
Kia,2022,416270,94606,3.6932874932810575
Mazda,2019,343267,89363,4.9082761587676185
Porsche,2014,417195,81833,3.5933143522361215
Audi,2022,319345,69254,4.934242356509495
Audi,2010,454194,55883,4.096663997059592
Jaguar,2021,276591,35523,4.302459039331322
Nissan,2016,145921,39718,4.123950478627498
Mazda,2011,360469,42135,3.6950677253206976
Audi,2021,231043,49787,3.876818664718539
Honda,2018,340035,66658,4.856490692876151
Ford,2018,201136,42014,3.231705554007529
Porsche,2019,99422,83773,3.1865097395707416
BMW,2020,256229,94317,3.5953439586926077
Honda,2013,338773,85325,3.2175916927619097
Land Rover,2022,157636,92795,4.2216773131698675
Volvo,2019,455991,31006,3.8896585151959178
Mazda,2022,476606,67784,4.665446195594293
Land Rover,2020,154199,44404,4.175536925212179
Mercedes,2016,254373,79372,3.4135631186482405
Tesla,2022,396912,31565,3.502200447413069
Subaru,2011,91823,53941,3.4075876705998436
Kia,2013,482415,24176,3.1690652305871447
Toyota,2022,369512,34689,4.439522826038664
Subaru,2010,297933,92432,3.0480753933328177
Nissan,2020,305608,82806,4.155743353755643
Lexus,2015,101123,40594,4.108728081656819
Toyota,2018,300530,81652,3.4733107589594274
Mercedes,2021,305900,58426,4.478579257492874
Toyota,2018,372793,57044,4.23823283470368
Porsche,2013,288364,47696,3.03452197099448
Jaguar,2021,246004,15076,3.0890377028232
Mercedes,2012,464747,53738,3.6011542161080445
Land Rover,2018,284006,83273,4.290211353172784
Tesla,2019,210476,67289,3.276061830393273
Chevrolet,2021,486138,23614,4.506115219829819
Ford,2012,335843,24615,3.1811760042413315
Fiat,2019,319042,70505,4.804234617284555
Kia,2012,181347,30977,3.3141672952578194
Ford,2012,198727,42431,4.054787028175694
Volkswagen,2013,469187,76797,4.1477255479253
Audi,2020,227610,75051,4.616425661033006
Mercedes,2017,107309,90768,3.414625346485483
Mercedes,2010,47459,22669,3.101665328426697
Mercedes,2015,209269,38333,4.192912212614567
Volkswagen,2021,401119,27698,4.4658652440350455
Jaguar,2014,229493,93845,3.294602691423786
Tesla,2013,407294,68906,4.222417305631085
Audi,2020,140119,48132,4.663090662685593
Volvo,2021,409086,45736,4.0972767833911545
Fiat,2019,462754,22377,4.8303874228491335
Nissan,2011,28277,98762,4.548533488375427
Audi,2020,466713,99320,4.925960496130543
Audi,2015,431893,22500,4.331544842121578
Honda,2012,330956,22826,4.523441782190376
Volkswagen,2011,68418,80689,4.360492981397047
Volvo,2015,208875,35642,3.6120304824291076
Land Rover,2010,24450,20618,3.9490928528963476
Jaguar,2020,285235,83422,3.5915322623941917
Porsche,2015,409949,47001,4.771441560842222
Land Rover,2011,335580,84579,3.196417778097727
Audi,2010,430349,39740,3.9362040888992107
BMW,2019,144400,40261,3.287731485613688
Subaru,2016,388870,65226,3.476847400990711
Land Rover,2019,492659,24533,4.228016678077875
Subaru,2016,385963,91368,3.389112322378544
Honda,2017,409373,45178,3.1546404893443745
Mazda,2011,18164,16119,4.621344113524823
Chevrolet,2020,303904,64678,3.185894932907413
Porsche,2012,450844,55739,4.552259945228798
Land Rover,2019,394592,76068,3.3092150734740833
Lexus,2016,325145,16634,4.212178681113073
Tesla,2016,247092,31472,4.931021649135866
Volkswagen,2016,201157,71543,4.5647661864471
Ford,2018,180759,86129,4.619763171411422
Land Rover,2010,333406,28403,4.304998761218342
Land Rover,2016,109132,44230,4.276278976982049
Audi,2010,52517,68239,3.3930205776158378
Hyundai,2012,203843,60984,3.724919697229121
Audi,2020,270603,87454,3.2420975523446773
Nissan,2018,75896,85135,3.219929656263412
Fiat,2013,298309,65541,4.247814065715793
Audi,2017,373367,74207,3.893562326062756
Nissan,2011,383905,42955,4.122097470733408
Mercedes,2013,206502,87031,4.63054218294564
Chevrolet,2010,404929,35428,4.094755506999492
Volvo,2019,70843,38003,4.658850808372664
Mazda,2012,82981,94817,3.0022919012565126
Toyota,2015,243151,46076,4.190899862938593
Subaru,2021,297238,41817,4.018803739061941
Land Rover,2021,402838,49162,4.39701976480262
Nissan,2022,48458,18140,3.0595438148142637
Hyundai,2017,158790,91160,3.539272330433352
Hyundai,2020,283521,98031,4.466063561891797
Fiat,2016,329631,34300,4.8102677496883715
Subaru,2015,270637,87126,3.3556718716544416
Tesla,2019,403048,85270,4.440103199070213
Ford,2015,415310,80264,4.374752781455743
Mercedes,2018,315963,96122,4.267946816880884
Volvo,2019,170045,59390,4.441352718185037
Mercedes,2013,286207,96919,4.762943927644635
Mercedes,2020,218976,87964,4.130944263100501
Toyota,2014,99897,42728,4.589901865649354
Honda,2022,271680,99257,4.465284484885042
Toyota,2021,388329,57240,4.645432427631766
BMW,2016,107677,75049,4.630366464585506
Porsche,2022,494245,32585,3.484344246094554
Volkswagen,2018,97081,68441,3.7004038506259365
Jaguar,2012,210979,27651,3.951966109721094
Jaguar,2012,297179,91749,3.0773236286434766
BMW,2021,36866,22344,3.7591872876448797
Tesla,2017,282471,63659,4.960897797272786
Land Rover,2020,181361,33007,3.9967158685888755
Ford,2018,365675,49635,3.943174132918305
Subaru,2017,430740,43554,3.3252008168073974
Kia,2021,446197,80199,3.893951138805478
Lexus,2021,26291,68833,3.1309627636604382
Subaru,2012,104535,47992,3.634998575189138
Volkswagen,2011,411928,44948,4.979846284841457
Honda,2012,357206,41409,3.5577010601735295
Lexus,2020,219002,82035,3.9631781102157557
Hyundai,2012,31629,76463,4.069479430827022
Land Rover,2021,101432,85486,3.459469308237057
Land Rover,2013,396966,67693,3.8386733147974734
Fiat,2010,63214,84817,3.636992626527757
Nissan,2010,433252,33584,3.782456442566966
Lexus,2019,488011,54288,3.719152802498499
Kia,2013,304319,23915,4.42301165475639
Audi,2020,368117,80298,4.967047443495925
Volkswagen,2022,143943,52375,3.9500335139868374
Chevrolet,2020,52680,18399,3.40499809920819
Honda,2014,348637,66548,3.2908457181908797
Volvo,2012,91344,74790,4.400068081929711
Honda,2011,158768,66457,3.9081522886246836
Toyota,2018,66632,81533,4.859305755581112
Porsche,2017,67942,24275,3.1087739320031447
Ford,2015,361230,41878,4.1740087211833865
Mazda,2012,222637,54935,4.760757450372348
Lexus,2018,283798,32830,4.363471904131222
Volvo,2021,439067,21952,3.204326467812444
Porsche,2014,203540,30091,4.339491614851278
Land Rover,2011,346644,55682,4.082205832908302
Jaguar,2018,195905,55205,4.122411306197739
Land Rover,2013,455729,30430,3.3703518776901182
Nissan,2010,189594,79353,4.910823388158059
Land Rover,2018,418195,83264,3.788475472258602
Jaguar,2010,77824,55431,3.813642664185376
Hyundai,2016,262366,87480,4.904203071420844
Volvo,2018,118484,15207,4.203613784597743
Porsche,2015,333498,78647,3.9114267303136567
Fiat,2010,187284,72776,4.713967611422752
Mercedes,2014,137558,93255,3.215647347703894
Volkswagen,2011,223630,43788,3.5033588077206206
Honda,2017,220743,64013,4.92037686001985
Jaguar,2018,278265,97445,3.1769114813710733
BMW,2013,400359,50502,3.08134403674023
Ford,2016,17304,19049,4.809455214845892
BMW,2018,465136,59544,3.2177632320623317
Ford,2019,24987,34089,3.0554506495236984
Nissan,2011,92071,47640,4.462071516656621
Hyundai,2019,16242,39529,3.211234090523472
Volvo,2014,290364,40651,3.326583363995118
Audi,2020,265960,49261,4.743984747994267
Jaguar,2018,113467,57380,3.9952764236753833
Mercedes,2016,114992,42011,3.059165689090475
BMW,2014,96677,90877,4.697375853765866
Ford,2018,336727,78056,3.293006681010837
Land Rover,2019,47880,16355,4.475635455173892
Toyota,2016,256590,94756,4.265158728440572
Hyundai,2012,70656,69104,3.7378287467072404
Jaguar,2012,75516,83197,4.127784225658532
Nissan,2013,421439,86441,3.065827537322347
Nissan,2015,11737,97404,4.97944626510943
Audi,2020,285055,44080,4.289927541490393
Fiat,2019,431156,63604,3.993754783373591
Kia,2014,26820,91502,3.260428256657412
Tesla,2021,343185,85793,3.977027279991506
Land Rover,2012,183861,80997,3.209607979079178
Honda,2011,266043,27128,3.1569848489338126
Porsche,2016,89258,64240,4.135781096610811
Land Rover,2010,70064,96176,3.1228131662822434
Volkswagen,2013,96891,84969,3.39845288531195
Ford,2017,115461,57774,4.713711842751267
Land Rover,2018,199407,38763,4.7564133484536875
Mazda,2022,326376,29227,4.361397192161153
Nissan,2022,183808,24651,4.140478884891602
Ford,2011,175189,92058,4.014005980992344
Mazda,2022,351572,23689,3.2378060353559865
Land Rover,2013,157763,17751,4.397884783937142
Jaguar,2022,318135,85875,3.2464420241409293
Porsche,2018,73177,73396,4.7562334442113645
Volkswagen,2013,320773,61233,4.997446509075428
Volkswagen,2020,352192,38511,4.749453010442417
Subaru,2019,238088,74269,4.549120499829175
Hyundai,2012,107383,50284,4.759971383121673
Land Rover,2016,441192,28725,3.9406476510919592
Fiat,2013,184115,92080,4.76132175688311
Hyundai,2019,26705,78131,3.27383910577122
Nissan,2011,339382,90940,4.483566661779406
Audi,2014,13877,99256,4.082858788609993
Chevrolet,2021,314512,63180,4.1979332726477505
Ford,2019,382072,64421,3.6860475455627806
Hyundai,2015,454451,32619,3.6072100941741847
Volkswagen,2010,88747,36169,4.337050276892228
Lexus,2020,65120,81376,3.092066272283437
Audi,2021,373920,30847,3.540294160988219
Subaru,2021,234059,22739,4.712287196140039
Lexus,2015,97942,87968,3.7423060925603493
Chevrolet,2018,86730,29819,4.281466718614891
Chevrolet,2012,479259,33697,4.132799389520937
Tesla,2017,38037,52982,4.831234184147799
Chevrolet,2014,277300,53280,3.878208894813935
Nissan,2013,456356,58408,4.434655574081739
Volkswagen,2018,403009,92988,4.485633381154663
Toyota,2010,431410,48785,4.127550396859282
Fiat,2015,171355,70911,4.705610627405895
Mazda,2013,93872,19700,3.9748223557805806
Lexus,2016,425813,48428,4.942131664214597
Hyundai,2015,135074,66224,3.334467566732151
Chevrolet,2014,270346,79202,4.544815444246483
Volvo,2020,302009,27289,3.5319650787598835
Lexus,2011,409721,59327,4.158255833511021
Lexus,2019,28409,34517,4.617818592179552
Jaguar,2017,211549,93002,4.213890825676407
Chevrolet,2010,296688,91347,4.302743104826465
Kia,2010,188114,68516,4.324019129228093
BMW,2011,417766,91400,4.428526925643697
BMW,2010,362614,83897,3.731146524150524
Porsche,2017,301162,36031,3.0572202871984704
Lexus,2020,452789,31719,3.1073043280193815
Volvo,2022,340827,84073,3.7820845843789384
Lexus,2011,455185,55194,4.980795592183929
Hyundai,2020,443099,25911,3.7078553531506073
Jaguar,2017,133919,59537,4.227029365435025
Nissan,2022,474035,45743,4.993122839027714
Lexus,2018,27645,86859,4.883456139900948
Tesla,2020,363004,93539,4.584431807609549
Fiat,2011,390895,59828,3.596988225574737
Ford,2019,116500,88803,3.0896326213416145
Kia,2011,485608,42785,3.5587126464815197
Volkswagen,2020,371634,86997,3.4749533900112484
Kia,2013,286196,87868,4.562889207768877
Lexus,2017,256709,90614,4.843081886393548
Mazda,2019,269407,72541,4.8302823979618195
Mazda,2019,115622,28531,4.232760052297668
Volvo,2016,142721,28472,4.145234490628669
Honda,2019,263107,53217,4.175974623218277
Chevrolet,2017,478042,78477,3.94929631556361
Chevrolet,2015,189096,75405,4.912015849032403
Toyota,2019,392788,87277,3.037111078139721
Chevrolet,2013,139814,53036,3.2127282660543313
Subaru,2017,492312,61257,4.61748445804224
Fiat,2020,292455,69478,4.88191324251787
Jaguar,2018,380544,20474,3.7353790450727065
Jaguar,2016,455489,54214,3.9788031705274536
Nissan,2017,294009,89108,4.1442754943307065
Tesla,2017,167938,27416,4.350109661466933
Volvo,2013,455815,97141,4.758063943752942
Jaguar,2022,469369,61404,3.196030863753571
BMW,2016,17826,27134,4.433419814810318
Jaguar,2022,157162,30569,4.521926635521617
Toyota,2013,217041,39520,4.510473062399904
Fiat,2021,259972,31257,3.636062368172924
Volvo,2016,325363,17859,3.099261721357262
BMW,2013,95621,88750,4.684861604300894
Nissan,2020,421442,58634,3.2977744052475337
Jaguar,2016,84210,99559,3.3971659564521666
Porsche,2018,71472,85904,3.3622240990334795
Land Rover,2017,282018,69822,3.271021204989678
Fiat,2020,457717,68912,3.907483518188603
Mazda,2014,471419,77496,3.0658215939098783
Volvo,2018,315167,52602,3.0366523370903975
Nissan,2011,192387,67164,4.243712170969152
Hyundai,2022,70526,18423,4.643079721851304
Hyundai,2014,356750,82868,4.110476459811997
Toyota,2017,310201,37604,3.7135133583953888
Kia,2019,387918,43941,3.989222625847088
Mazda,2012,428908,73420,3.0481340767152107
Jaguar,2014,147465,48488,3.5911354769740673
Mazda,2021,219176,60015,3.5396752096357553
Tesla,2019,333420,47740,4.381948302303128
Tesla,2021,100534,30316,4.543281474390604
Volkswagen,2020,268554,28987,4.251732219230736
Kia,2011,150216,53459,3.0718569301117142
Audi,2013,259783,84741,4.324495095042961
Toyota,2017,251209,71395,4.9131751069590885
Mercedes,2019,143479,46594,4.698517252999293
Volvo,2013,496571,91661,4.82236717861486
Nissan,2017,229055,41238,4.490283096840957
Volkswagen,2012,124183,30772,4.368804804129278
Mercedes,2020,327123,65338,3.4399943053410844
Subaru,2014,209439,35045,4.587990621738565
BMW,2010,95184,69524,4.396788491881884
Fiat,2013,229842,62373,4.801589400525739
Hyundai,2011,164115,80322,3.7608889035319226
Chevrolet,2010,178560,82505,3.5655636112060582
Kia,2015,136075,16374,3.9011942582072
Ford,2010,154499,79442,3.7448535023519365
Mercedes,2014,288775,34887,3.255611685590426
Chevrolet,2013,190702,34144,4.065771273281739
Mercedes,2014,161908,81904,3.62803752744473
Hyundai,2012,283713,46182,4.796135714346565
Land Rover,2013,368276,42003,3.626655664302631
Tesla,2016,165801,66696,4.01214779693342
Honda,2012,40653,29141,3.4957939455017515
Volkswagen,2016,446677,95314,4.44838489330831
Kia,2017,387181,23629,4.279997807193496
Subaru,2011,267366,51069,3.813135149801422
BMW,2018,447766,83305,4.221837155034523
Mercedes,2011,340345,39807,4.576070091604194
Ford,2010,103758,72300,3.2972537688728174
Kia,2011,356495,65539,4.884999859745781
Volkswagen,2012,484285,66591,3.228841360312045
Mercedes,2014,359068,94048,4.242523511851099
Kia,2017,218343,57635,4.259118111990293
Tesla,2017,163484,50862,3.6105330760245335
Volkswagen,2014,174727,59688,4.427782938656226
Jaguar,2012,489129,67236,4.559685162038633
Chevrolet,2016,149972,48485,4.364366332305556
Toyota,2016,344227,52964,4.138146391180148
BMW,2012,389015,99856,4.849479130398927
BMW,2015,315399,66965,4.763062096084012
Volkswagen,2019,62195,51326,4.320375994995716
Volkswagen,2010,368673,93347,3.2151574054277257
Volvo,2010,328862,83718,4.1984777169365675
Toyota,2022,253083,16915,3.878086520938906
Mercedes,2021,326062,19793,3.4508042295376002
Volvo,2017,416410,34309,4.2647366638292254
Chevrolet,2012,153723,35405,3.898261131786982
BMW,2021,95443,38426,4.980396980924715
Mercedes,2020,62136,43962,4.637926736054952
Subaru,2012,196963,28264,4.572260844924363
Land Rover,2013,369369,60213,3.455124060639732
Tesla,2022,319982,26573,3.0478107049955927
Volkswagen,2020,129024,17482,4.342668062206011
Subaru,2014,380196,92271,3.4186962319357033
Chevrolet,2011,252076,49422,3.699203464808573
Porsche,2015,401651,54579,3.638279031068387
BMW,2012,317455,25300,3.599395662760009
Toyota,2021,89244,43090,4.185356131827491
Kia,2016,198812,79949,4.852984432734598
Land Rover,2016,362401,33610,3.669399389038337
Subaru,2020,33226,42677,3.893620508494802
BMW,2016,289888,38434,3.926807094772069
Land Rover,2015,351948,61745,3.6129154627009012
Kia,2020,416980,39409,3.8168374149973854
Toyota,2017,113512,55542,4.8788672457923745
Volkswagen,2022,497306,36663,4.316714184370592
Fiat,2011,347774,27167,3.311130794217741
Volvo,2022,480597,25485,3.438158671335059
Mazda,2012,305458,63298,3.0858245453203885
Audi,2019,316377,63384,4.02205813061739
Lexus,2020,47669,41272,4.103948390543559
Chevrolet,2012,134878,68804,4.657299819925202
BMW,2010,239636,35180,3.265593429981142
Hyundai,2014,207623,39489,3.1184969047994553
Audi,2020,120551,95808,4.2722730608562625
Fiat,2012,343018,75361,3.839389846999194
Honda,2019,79833,34332,3.958484750078661
Honda,2016,56129,48808,3.649206406891863
Land Rover,2017,160651,36483,4.593200912996754
Fiat,2018,313060,61923,3.645472454432645
Volkswagen,2012,279156,30213,4.559522110558244
Chevrolet,2022,56576,25711,3.6142413897441217
Volkswagen,2021,161265,82667,4.357728178171027
Subaru,2012,281344,65469,3.8640854270529528
Jaguar,2020,110927,46734,3.4161744297002206
Tesla,2011,297669,43572,4.225971724127377
Porsche,2010,129786,16946,3.2389628567461575
Lexus,2022,84712,59651,4.345964614547296
Toyota,2020,130359,39601,3.1185455735359544
Audi,2022,262697,67034,4.255514154523193
Ford,2022,495438,82581,3.672680245758273
Toyota,2022,188215,74379,4.825516463893477
Chevrolet,2018,46516,74789,4.506991122961117
Lexus,2018,313942,70920,4.420343214806003
Nissan,2013,476347,15424,3.611663058236826
Subaru,2019,369022,74481,4.466521451806599
Mazda,2014,209302,84131,4.033997166425236
Volkswagen,2015,29650,22017,4.131047060763144
BMW,2022,77762,19388,3.9985668023261063
Land Rover,2010,344996,17843,4.392347029712042
Porsche,2021,236709,61546,3.518456390134262
Fiat,2013,321721,50169,3.0191234257009567
Volkswagen,2021,170770,77415,3.126979389629412
Tesla,2017,474787,87607,4.766305972743664
Porsche,2020,288675,17170,4.236064968362275
Fiat,2011,14163,55794,4.899921801753783
BMW,2021,382368,39448,3.025239724178296
Mercedes,2015,38299,56119,4.9255730176561405
Jaguar,2019,371461,89279,4.769717792966677
Subaru,2012,249060,52595,4.45311981637905
Land Rover,2021,36209,95752,4.016147460636422
Volvo,2016,231519,40406,3.169510626893456
Toyota,2021,48865,21458,3.540409526608263
Hyundai,2016,344168,39541,4.347469854981303
Porsche,2018,334467,26170,4.0108418530527885
Chevrolet,2014,112491,51108,3.0640745335394564
Volkswagen,2021,431571,87836,4.593501434660468
Hyundai,2015,17444,29610,4.898224107455478
Land Rover,2019,402889,65139,4.719877493466971
Fiat,2021,79468,41055,3.529985582441082
Porsche,2020,183908,41627,3.5703914966102994
Honda,2018,105368,55785,4.859330532600897
Chevrolet,2015,26643,85561,3.3061696376828165
Volkswagen,2020,306671,38898,4.215445495674253
Jaguar,2013,13794,84126,4.981391131798361
Ford,2011,21036,94908,3.6114749480292474
Lexus,2021,299332,82852,3.5246963001335514
Nissan,2016,430420,16265,3.7986616658543744
Honda,2021,332503,58420,4.466629322531812
Audi,2013,195736,85960,4.096431821309841
Lexus,2022,285320,80036,3.474368923094528
Jaguar,2011,166714,18139,4.643834761177524
Mazda,2019,70117,43780,3.79057692213922
Chevrolet,2018,179565,63352,4.695875515517257
BMW,2020,167011,61880,3.62682117243925
Mazda,2012,433086,73144,4.03799091286433
Lexus,2010,319545,27992,3.911367333002633
Ford,2014,425187,22071,4.022321192082634
Subaru,2012,251359,21586,3.5858113509667193
Lexus,2011,46735,81358,4.9263154005122045
Honda,2017,494715,51656,3.6697525869590675
Jaguar,2014,29654,90653,3.8753047294488443
Hyundai,2014,472745,33982,3.4899147279868994
Nissan,2012,302317,52525,3.7236147360709806
Toyota,2012,376563,37625,4.9141125929606195
Mazda,2017,312027,17703,4.2876944056230935
Fiat,2014,437731,88768,4.629157452005337
Audi,2022,66195,79108,4.304513035547088
Audi,2020,305120,15599,3.6593897734101035
Chevrolet,2015,277867,70704,4.384510779191809
Chevrolet,2022,454776,74921,3.640186218151103
Honda,2010,420422,66747,4.5220145803718275
